Family Number	Protein Family
0	'GDSL' lipolytic enzyme family
1	'GDSL' lipolytic enzyme family. IAH1 subfamily
2	'GDSL' lipolytic enzyme family. Phospholipase B1 subfamily
3	'GDSL' lipolytic enzyme family. Platelet- activating factor acetylhydrolase IB beta/gamma subunits subfamily
4	'GDXG' lipolytic enzyme family
5	'phage' integrase family
6	'phage' integrase family. XerA subfamily
7	'phage' integrase family. XerC subfamily
8	'phage' integrase family. XerD subfamily
9	'phage' integrase family. XerD-like subfamily
10	'phage' integrase family. XerH subfamily
11	'phage' integrase family. XerS subfamily
12	1-acyl-sn-glycerol-3-phosphate acyltransferase family
13	1-acyl-sn-glycerol-3-phosphate acyltransferase family. OlsA subfamily
14	11S seed storage protein (globulins) family
15	14-3-3 family
16	2'-deoxynucleoside 5'-phosphate N-hydrolase 1 family
17	2-5A synthase family
18	2-aminomuconate deaminase family
19	2-oxoacid dehydrogenase family
20	2-oxoacid dehydrogenase family. Kgd subfamily
21	2-oxoadipate dioxygenase/decarboxylase family
22	2-phosphoglycerate kinase family
23	2Fe2S plant-type ferredoxin family
24	2Fe2S Shethna-type ferredoxin family
25	2H phosphoesterase superfamily. CNPase family
26	2H phosphoesterase superfamily. CPD1 family
27	2H phosphoesterase superfamily. ThpR family
28	2H phosphoesterase superfamily. USB1 family
29	2H phosphoesterase superfamily. YjcG family
30	2S seed storage albumins family
31	3-beta-HSD family
32	3-HAO family
33	3-hydroxyacyl-CoA dehydrogenase family
34	3-hydroxyacyl-CoA dehydrogenase family. L- carnitine dehydrogenase subfamily
35	3-hydroxybenzoate 6-hydroxylase family
36	3-oxoacid CoA-transferase family
37	3-oxoacid CoA-transferase subunit A family
38	3-oxoacid CoA-transferase subunit B family
39	30 kDa lipoprotein family
40	4-hydroxy-2-oxovalerate aldolase family
41	4-hydroxybenzoyl-CoA thioesterase family
42	4-hydroxybenzoyl-CoA thioesterase family. DHNA-CoA hydrolase subfamily
43	4-oxalocrotonate tautomerase family
44	4-oxalocrotonate tautomerase family. PptA subfamily
45	4-toluene sulfonate uptake permease (TSUP) (TC 2.A.102) family
46	4E-T/EIF4E-T family
47	4Fe4S bacterial-type ferredoxin family. RnfB subfamily
48	4Fe4S bacterial-type ferredoxin family. RnfC subfamily
49	4HPPD family
50	5'(3')-deoxyribonucleotidase family
51	5'-3' exonuclease family
52	5'-3' exonuclease family. XRN2/RAT1 subfamily
53	5'-AMP-activated protein kinase beta subunit family
54	5'-AMP-activated protein kinase gamma subunit family
55	5'-nucleotidase family
56	5'-nucleotidase type 3 family
57	5-formyltetrahydrofolate cyclo-ligase family
58	5DNU family
59	6-hydroxynicotinate 3-monooxygenase family
60	6-phosphogluconate dehydrogenase family
61	7 kDa DNA-binding/endoribonuclease P2 family
62	7B2 family
63	7S seed storage protein family
64	[Elongation factor Ts, chloroplastic]: Belongs to the EF-Ts family
65	[NiFe]/[NiFeSe] hydrogenase large subunit family
66	[NiFe]/[NiFeSe] hydrogenase small subunit family
67	A.longa ORF167/ORF288 family
68	A9/FIL1 family
69	AAA ATPase family
70	AAA ATPase family. AFG2 subfamily
71	AAA ATPase family. BCS1 subfamily
72	AAA ATPase family. CDC48 subfamily
73	AAA ATPase family. DRC11 subfamily
74	AAA ATPase family. Highly divergent
75	AAA ATPase family. Katanin p60 subunit A1 subfamily
76	AAA ATPase family. Katanin p60 subunit A1 subfamily. A-like 1 sub-subfamily
77	AAA ATPase family. Katanin p60 subunit A1 subfamily. A-like 2 sub-subfamily
78	AAA ATPase family. MSP1 subfamily
79	AAA ATPase family. PCH2 subfamily
80	AAA ATPase family. RarA/MGS1/WRNIP1 subfamily
81	AAA ATPase family. Spastin subfamily
82	AAC(2')-I acetyltransferase family
83	AAE transporter (TC 2.A.81) family
84	AAE transporter (TC 2.A.81) family. YbjL subfamily
85	AAE transporter (TC 2.A.81) family. YidE subfamily
86	AaeX family
87	AAMDC family
88	AAR2 family
89	AATF family
90	AB hydrolase 3 family
91	AB hydrolase superfamily
92	AB hydrolase superfamily. AB hydrolase 2 family
93	AB hydrolase superfamily. AB hydrolase 4 family
94	AB hydrolase superfamily. ABHD14 family
95	AB hydrolase superfamily. ABHD16 family
96	AB hydrolase superfamily. ABHD17 family
97	AB hydrolase superfamily. Acetyl esterase family
98	AB hydrolase superfamily. AKT2 hydrolase family
99	AB hydrolase superfamily. Bacterial non-heme haloperoxidase / perhydrolase family
100	AB hydrolase superfamily. BphD family
101	AB hydrolase superfamily. Carboxylesterase BioH family
102	AB hydrolase superfamily. Epoxide hydrolase family
103	AB hydrolase superfamily. Esterase 10 family
104	AB hydrolase superfamily. FaeA family
105	AB hydrolase superfamily. FUS2 hydrolase family
106	AB hydrolase superfamily. HsaD family
107	AB hydrolase superfamily. Hydrolase RdmC family
108	AB hydrolase superfamily. Hydrolase RutD family
109	AB hydrolase superfamily. Hydroxynitrile lyase family
110	AB hydrolase superfamily. Isoprenylcysteine methylesterase family
111	AB hydrolase superfamily. LDAH family
112	AB hydrolase superfamily. Lipase family
113	AB hydrolase superfamily. MenH family
114	AB hydrolase superfamily. Methylesterase family
115	AB hydrolase superfamily. MetX family
116	AB hydrolase superfamily. MhpC family
117	AB hydrolase superfamily. Monoacylglycerol lipase family
118	AB hydrolase superfamily. MpaH hydrolase family
119	AB hydrolase superfamily. Pseudomonas lipase family
120	ABC transporter superfamily
121	ABC transporter superfamily.
122	ABC transporter superfamily. 2- aminoethylphosphonate importer (TC 3.A.1.11.5) family
123	ABC transporter superfamily. ABCA family
124	ABC transporter superfamily. ABCA family. CPR flippase (TC 3.A.1.211) subfamily
125	ABC transporter superfamily. ABCB family
126	ABC transporter superfamily. ABCB family. Heavy Metal importer (TC 3.A.1.210) subfamily
127	ABC transporter superfamily. ABCB family. Metal importer (TC 3.A.1.210) subfamily
128	ABC transporter superfamily. ABCB family. MHC peptide exporter (TC 3.A.1.209) subfamily
129	ABC transporter superfamily. ABCB family. Mitochondrial peptide exporter (TC 3.A.1.212) subfamily
130	ABC transporter superfamily. ABCB family. Multidrug resistance exporter (TC 3.A.1.201) subfamily
131	ABC transporter superfamily. ABCC family
132	ABC transporter superfamily. ABCC family. CFTR transporter (TC 3.A.1.202) subfamily
133	ABC transporter superfamily. ABCC family. Conjugate transporter (TC 3.A.1.208) subfamily
134	ABC transporter superfamily. ABCD family. Peroxisomal fatty acyl CoA transporter (TC 3.A.1.203) subfamily
135	ABC transporter superfamily. ABCE family
136	ABC transporter superfamily. ABCF family. ARE2 subfamily
137	ABC transporter superfamily. ABCF family. EF3 (TC 3.A.1.121) subfamily
138	ABC transporter superfamily. ABCF family. EF3 subfamily
139	ABC transporter superfamily. ABCF family. Translational throttle EttA subfamily
140	ABC transporter superfamily. ABCF family. Uup subfamily
141	ABC transporter superfamily. ABCF family. YbiT subfamily
142	ABC transporter superfamily. ABCF family. YdiF subfamily
143	ABC transporter superfamily. ABCF family. YheS subfamily
144	ABC transporter superfamily. ABCG family
145	ABC transporter superfamily. ABCG family. Eye pigment precursor importer (TC 3.A.1.204) subfamily
146	ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily
